,uniprot_accession,taxid
0,Q9ULK4,9606
1,Q92793,9606
2,Q9ULK4,9606
3,Q92831,9606
4,Q92793,9606
5,P61201,9606
6,Q92793,333923
7,P06930,9606
8,Q92793,9606
9,Q53ET0,9606
10,Q92793,28282
11,P03259,9606
12,Q92793,9606
13,Q6ZTM8,9606
14,Q92793,9606
15,Q01196,9606
16,Q92793,10579
17,P06428,9606
18,Q92793,9606
19,Q14653,9606
20,Q92793,9606
21,P04637,9606
22,Q92793,9606
23,P03126,333760
24,Q92793,9606
25,P03129,333760
26,Q92793,9606
27,P03255,28285
28,Q92793,10377
29,P03209,9606
30,Q92793,10600
31,P06462,9606
32,Q92793,9606
33,Q15796,9606
34,Q92793,9606
35,Q15788,9606
36,Q92793,9606
37,P42858,9606
38,Q92793,9606
39,P31749,9606
40,Q92793,9606
41,P63165,9606
42,Q92793,9606
43,P63279,9606
44,Q92793,9606
45,Q16665,9606
46,Q92793,9606
47,P16220,9606
48,Q92793,9606
49,P01130,9606
50,Q92793,9606
51,Q00403,9606
52,Q92793,9606
53,Q92831,9606
54,Q92793,9606
55,P10275,9606
56,Q92793,9606
57,A0A087WZ13,9606
58,Q92793,9606
59,Q12778,9606
60,Q92793,9606
61,O43524,9606
62,Q92793,1891730
63,P0DOJ6,9606
64,Q92793,33708
65,O41951,9606
66,Q92793,9606
67,P03070,1891767
68,Q92793,10116
69,O35800,9606
70,Q92793,7227
71,P18824,9606
72,Q92831,9606
73,P03129,333760
74,Q92831,28285
75,P03255,9606
76,P06930,333923
77,Q15796,9606
78,Q15796,10579
79,P06428,9606
80,Q15796,9606
81,P31749,9606
82,P03259,28282
83,P16220,9606
84,P16220,9606
85,A0A087WZ13,9606
86,P16220,9606
87,P16220,9606
88,Q14653,333760
89,P03126,9606
90,Q14653,9606
91,Q14653,9606
92,P03126,9606
93,P04637,333760
94,P04637,9606
95,P63279,9606
96,P04637,9606
97,P42858,9606
98,P04637,9606
99,P04637,9606
100,P04637,9606
101,P10275,9606
102,P04637,1891767
103,P03070,9606
104,P63279,9606
105,P63165,9606
106,P42858,9606
107,P42858,9606
108,P10275,9606
109,P10275,9606
110,P10275,9606
111,Q15788,9606
112,P10275,9606
113,A0A087WZ13,9606
114,P03070,9606
115,Q00403,1891767
116,P31749,9606
117,O43524,9606
118,P01130,9606
119,P01130,9606
120,Q12778,9606
121,Q12778,9606
