,uniprot_accession,taxid
0,Q01831,9606
1,O15527,9606
2,O15527,10090
3,P63038,9606
4,P19338,9606
5,P11387,9606
6,P19338,9606
7,Q99608,9606
8,P19338,9606
9,P05412,9606
10,P19338,9606
11,O96013,9606
12,P19338,10090
13,P14404,9606
14,P19338,10090
15,A2A935,9606
16,P11387,10090
17,A2A935,9606
18,P11387,9606
19,O14777,9606
20,P11387,9606
21,Q86VY4,9606
22,P11387,9606
23,P42768,9606
24,P11387,9606
25,O60563,9606
26,P11387,9606
27,O96013,9606
28,P11387,9606
29,P00519,9606
30,P11387,9606
31,Q8IW19,9606
32,P11387,9606
33,Q9NRI5,9606
34,P11387,9606
35,P03070,1891767
36,P11387,9606
37,P23497,9606
38,P11387,9606
39,O94992,9606
40,P11387,9606
41,Q86Y97,9606
42,P11387,9606
43,Q14197,9606
44,P11387,9606
45,Q92547,9606
46,P11387,9606
47,Q99608,9606
48,P11387,9606
49,P05412,9606
50,P11387,9606
51,P51957,9606
52,P11387,1891767
53,P03081,9606
54,P11387,588858
55,D0ZRB2,9606
56,P11387,10090
57,P14404,9606
58,P05412,10090
59,A2A935,9606
60,P05412,9606
61,Q86Y97,9606
62,P05412,9606
63,Q14197,9606
64,P05412,10090
65,P14404,9606
66,O60563,9606
67,O94992,9606
68,P21817,9606
69,P62136,9606
70,P21817,9606
71,P67775,9606
72,P15882,9606
73,P29274,9606
74,P29274,9606
75,P43490,9606
76,P29274,9606
77,P14416,9606
78,P29274,9606
79,P35462,9606
80,P29274,9606
81,O15354,9606
82,P29274,9606
83,P31942,9606
84,P29274,9606
85,Q6PJE2,9606
86,P29274,9606
87,Q5JR12,9606
88,P29274,9606
89,P11177,9606
90,P29274,9606
91,Q6NTF9,9606
92,P29274,9606
93,Q9BZJ4,9606
94,P29274,9606
95,Q9BWU0,9606
96,P29274,9606
97,Q9H2V7,9606
98,P14416,9606
99,Q6NTF9,9606
100,P14416,9606
101,O15354,9606
102,O15354,9606
103,Q5JR12,9606
104,P16473,9606
105,P30542,9606
