gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_concept_id	interaction_group_score	PMIDs
CDK7	CDK7	1022	CancerCommons	inhibitor	SNS-032	SNS-032	BMS-387032	chembl:CHEMBL296468	0.82	
VDR	VDR	7421	DTC		NIFEKALANT	NIFEKALANT	NIFEKALANT	chembl:CHEMBL360861	0.14	
GPR55	GPR55	9290	DTC		BISACODYL	BISACODYL	BISACODYL	chembl:CHEMBL942	0.94	
NR1H4	NR1H4	9971	DTC		PENTACHLOROPHENOL	PENTACHLOROPHENOL	PENTACHLOROPHENOL	chembl:CHEMBL75967	0.07	
FGFR2	FGFR2	2263	JAX-CKB		AZ6089	AZ6089				22869148
APOE	APOE	348	NCI		PREDNISONE	PREDNISONE	PREDNISONE	chembl:CHEMBL635	0.23	3185288
BLM	BLM	641	DTC		9,10-PHENANTHRENEQUINONE	9,10-PHENANTHRENEQUINONE	9,10-PHENANTHRENEQUINONE	chembl:CHEMBL51931	0.02	
P2RX7	P2X purinoceptor 7	5027	TTD		Pyridazinone derivative 1	Pyridazinone derivative 1				
TRPC6	7225	7225	GuideToPharmacology	blocker	135649885	ACAA				
CYP2E1	CYP2E1	1571	NCI		ISOFLAVONE	ISOFLAVONE	ISOFLAVONE	chembl:CHEMBL366460	1.84	15056880
PDGFRB	PDGFR	5159	ChemblInteractions	inhibitor	CHEMBL576982	QUIZARTINIB	QUIZARTINIB	chembl:CHEMBL576982	0.18	
MMP2	4313	4313	GuideToPharmacology	inhibitor	178101832	ARP100				
MAPT	MAPT	4137	DTC		DIHYDROXANTHOHUMOL	DIHYDROXANTHOHUMOL	DIHYDROXANTHOHUMOL	chembl:CHEMBL510279	0.02	
NR2E3	NR2E3	10002	DTC		GNF-PF-3037	GNF-PF-3037	CHEMBL600336	chembl:CHEMBL600336	0.39	
DNTT	DNTT	1791	NCI		HYDROXYUREA	HYDROXYUREA	HYDROXYUREA	chembl:CHEMBL467	2.27	291471
ARAF	ARAF	369	PharmGKB		sorafenib	sorafenib	SORAFENIB	chembl:CHEMBL1336	0.68	24569458
PIK3R2	PIK3R2	5296	MyCancerGenome	inhibitor	PF-4691502	PF-4691502	PF-04691502	chembl:CHEMBL1234354	0.21	
MAPK8	MAPK8	5599	DTC		JNJ-7706621	JNJ-7706621	JNJ-7706621	chembl:CHEMBL191003	0.03	
POLH	POLH	5429	DTC		AG-538	AG-538	CHEMBL56393	chembl:CHEMBL56393	0.01	
CBX1	CBX1	10951	DTC		BENSERAZIDE	BENSERAZIDE	BENSERAZIDE	chembl:CHEMBL1096979	0.07	
ICAM1	Intercellular adhesion molecule ICAM-1	3383	TTD		BI-505	BI-505	BI-505	chembl:CHEMBL2109482	19.1	
ATP4A	P20648	495	TEND		PANTOPRAZOLE	PANTOPRAZOLE	PANTOPRAZOLE	chembl:CHEMBL1502	4.55	
CHRM5	1133	1133	GuideToPharmacology	agonist	135650728	NNC 11-1607				
IDH1	IDH1	3417	JAX-CKB		BPTES	BPTES				21045145
SPHK1	Sphingosine kinase 1	8877	TTD		PMID27539678-Compound-11	PMID27539678-Compound-11				
CYP3A4	CYP3A4	1576	PharmGKB		oxazepam	oxazepam	OXAZEPAM	chembl:CHEMBL568	0.0	
APOBEC3G	APOBEC3G	60489	DTC		NSC-50690	NSC-50690	CHEMBL1388703	chembl:CHEMBL1388703	0.18	
F2R	CF2R	2149	ChemblInteractions	inhibitor	CHEMBL2013119	RIGOSERTIB SODIUM	RIGOSERTIB SODIUM	chembl:CHEMBL2013119	3.98	
TRPV1	Transient receptor potential cation channel V1	7442	TTD		PMID25666693-Compound-23	PMID25666693-Compound-23				
ATP1A1	P05023	476	TdgClinicalTrial		ISTAROXIME	ISTAROXIME	ISTAROXIME	chembl:CHEMBL2093999	5.3	
EZH2	Enhancer of zeste homolog 2	2146	TTD		GSK2816126	GSK2816126				
HTR1A	3350	3350	GuideToPharmacology	agonist	135650536	LYSERGIDE	LYSERGIDE	chembl:CHEMBL263881	0.24	
USP1	USP1	7398	DTC		GNF-PF-5510	GNF-PF-5510	CHEMBL578741	chembl:CHEMBL578741	0.01	
KDM4E	KDM4E	390245	DTC		NSC-50654	NSC-50654	CHEMBL1372046	chembl:CHEMBL1372046	0.05	
	Platelet-derived growth factor receptor		TTD		PMID25623274-Compound-WO2014132220C2	PMID25623274-Compound-WO2014132220C2				
NFKB1	NFKB1	4790	DTC		SJ000113257	SJ000113257	CHEMBL528694	chembl:CHEMBL528694	0.05	
PI4KB	5298	5298	GuideToPharmacology	inhibitor	178102683	PIK-93				
CD2	914	914	GuideToPharmacology	inhibitor	178103393	ALEFACEPT	ALEFACEPT	chembl:CHEMBL1201571	106.09	
ADRB2	P07550	154	TdgClinicalTrial		ALPRENOLOL	ALPRENOLOL	ALPRENOLOL	chembl:CHEMBL266195	1.84	
CACNA1F	CACNAF1	778	ChemblInteractions	modulator	CHEMBL2103836	IMAGABALIN	IMAGABALIN	chembl:CHEMBL2103836	0.11	
NFE2L2	NFE2L2	4780	DTC		ALDICARB	ALDICARB	ALDICARB	chembl:CHEMBL91732	0.03	
GABRA6	2559	2559	GuideToPharmacology	allosteric modulator	178100967	BRETAZENIL	BRETAZENIL	chembl:CHEMBL366947	0.14	
SMARCA4	6597	6597	GuideToPharmacology	inhibitor	249565598	PFI-3				
IL10	IL10	3586	NCI		FLUTICASONE PROPIONATE	FLUTICASONE PROPIONATE				12372131
CA2	Carbonic anhydrase II	760	TTD		PARABEN	PARABEN	PARABEN	chembl:CHEMBL441343	0.4	
CSF1R	1436	1436	GuideToPharmacology	inhibitor	178102292	CEDIRANIB	CEDIRANIB	chembl:CHEMBL491473	0.05	
TLR8	51311	51311	GuideToPharmacology	agonist	315661111	MOTOLIMOD	MOTOLIMOD	chembl:CHEMBL3301618	38.19	
JAK3	Janus kinase 3	3718	TTD		Pyrazolopyridine derivative 2	Pyrazolopyridine derivative 2				
PDK1	Pyruvate dehydrogenase kinase 1	5163	TTD		Heterocyclic derivative 13	Heterocyclic derivative 13				
ALDH1A1	ALDH1A1	216	DTC		ROTTLERIN	ROTTLERIN	ROTTLERIN	chembl:CHEMBL34241	0.01	
COL6A6	COL6A6	131873	ChemblInteractions		CHEMBL2095222	OCRIPLASMIN	OCRIPLASMIN	chembl:CHEMBL2095222	0.86	
RARG	Retinoic acid receptor gamma	5916	TTD		PMID27336223-Compound-12	PMID27336223-Compound-12				
NR1I2	NR1I2	8856	PharmGKB		diethylstilbestrol	diethylstilbestrol	DIETHYLSTILBESTROL	chembl:CHEMBL411	0.08	
SCN11A	SCN12A	11280	ChemblInteractions	blocker	CHEMBL3545209	NKTR-171	NKTR-171	chembl:CHEMBL3545209	0.11	
FMO3	FMO3	2328	PharmGKB		tacrolimus	tacrolimus	TACROLIMUS	chembl:CHEMBL269732	0.47	28084894
GADD45A	GADD45A	1647	NCI		DOXORUBICIN	DOXORUBICIN	DOXORUBICIN	chembl:CHEMBL53463	0.27	7729953
POLK	POLK	51426	DTC		RESVERATROL	RESVERATROL	RESVERATROL	chembl:CHEMBL165	0.01	
DRD4	DRD4	1815	ChemblInteractions	antagonist	CHEMBL1201155	LOXAPINE SUCCINATE	LOXAPINE SUCCINATE	chembl:CHEMBL1201155	0.17	
IL2RA	P42701	3559	TdgClinicalTrial		INCELL-1001+ AD-1001	INCELL-1001+ AD-1001				
KDR	P35968	3791	TdgClinicalTrial		LENVATINIB	LENVATINIB	LENVATINIB	chembl:CHEMBL1289601	0.23	
GMNN	GMNN	51053	DTC		IDAZOXAN	IDAZOXAN	IDAZOXAN	chembl:CHEMBL10316	0.02	
NR3C1	Glucocorticoid receptor	2908	TTD		Mifepristone	Mifepristone	MIFEPRISTONE	chembl:CHEMBL1276308	0.24	
	Steroid hormone receptor ERR		TTD		Flumethasone Pivalate	Flumethasone Pivalate				
KRAS	KRAS	3845	JAX-CKB		lenalidomide	lenalidomide	LENALIDOMIDE	chembl:CHEMBL848	0.07	27458141
MAPK12	MAPK12	6300	DTC		SB-202190	SB-202190	SB-202190	chembl:CHEMBL278041	0.14	22951114
RACGAP1	RACGAP1	29127	DTC		TCMDC-124522	TCMDC-124522	CHEMBL526776	chembl:CHEMBL526776	0.23	
MGMT	MGMT	4255	NCI		CHLORAMBUCIL	CHLORAMBUCIL	CHLORAMBUCIL	chembl:CHEMBL515	0.56	8621235
BAX	BAX	581	NCI		PREDNISOLONE	PREDNISOLONE	PREDNISOLONE	chembl:CHEMBL131	0.1	12730678
