"","From","Entry","Gene.Names","Annotation","Organism..ID.","Organism","Function..CC.","Cofactor","Tissue.specificity","Interacts.with","Protein.existence","Allergenic.Properties","Protein.families","Biotechnological.use","Redox.potential","uniprotkb"
"1","P01130","P01130","LDLR","5","9606","Homo sapiens (Human)","FUNCTION: Binds LDL, the major cholesterol-carrying lipoprotein of plasma, and transports it into cells by endocytosis. In order to be internalized, the receptor-ligand complexes must first cluster into clathrin-coated pits. {ECO:0000269|PubMed:3005267, ECO:0000269|PubMed:6091915}.; FUNCTION: (Microbial infection) Acts as a receptor for hepatitis C virus in hepatocytes, but not through a direct interaction with viral proteins. {ECO:0000269|PubMed:10535997, ECO:0000269|PubMed:12615904}.; FUNCTION: (Microbial infection) Acts as a receptor for Vesicular stomatitis virus. {ECO:0000269|PubMed:23589850}.; FUNCTION: (Microbial infection) In case of HIV-1 infection, may function as a receptor for extracellular Tat in neurons, mediating its internalization in uninfected cells. {ECO:0000269|PubMed:11100124}.",NA,NA,"P04114; P02649; P02749; P01130; P30533; Q9H2K0; Q8NBP7; Q8NBP7-1; Q08117-2; D3ZAR1; P0DTC2","Evidence at protein level",NA,"LDLR family",NA,NA,"P01130"
"2","Q92793","Q92793","CREBBP CBP","5","9606","Homo sapiens (Human)","FUNCTION: Acetylates histones, giving a specific tag for transcriptional activation (PubMed:24616510). Also acetylates non-histone proteins, like DDX21, FBL, IRF2, MAFG, NCOA3, POLR1E/PAF53 and FOXO1 (PubMed:10490106, PubMed:11154691, PubMed:12738767, PubMed:12929931, PubMed:9707565, PubMed:24207024, PubMed:28790157, PubMed:30540930). Binds specifically to phosphorylated CREB and enhances its transcriptional activity toward cAMP-responsive genes. Acts as a coactivator of ALX1. Acts as a circadian transcriptional coactivator which enhances the activity of the circadian transcriptional activators: NPAS2-ARNTL/BMAL1 and CLOCK-ARNTL/BMAL1 heterodimers (PubMed:14645221). Acetylates PCNA; acetylation promotes removal of chromatin-bound PCNA and its degradation during nucleotide excision repair (NER) (PubMed:24939902). Acetylates POLR1E/PAF53, leading to decreased association of RNA polymerase I with the rDNA promoter region and coding region (PubMed:24207024). Acetylates DDX21, thereby inhibiting DDX21 helicase activity (PubMed:28790157). Acetylates FBL, preventing methylation of 'Gln-105' of histone H2A (H2AQ104me) (PubMed:30540930). Functions as a transcriptional coactivator for SMAD4 in the TGF-beta signaling pathway (PubMed:25514493). {ECO:0000269|PubMed:10490106, ECO:0000269|PubMed:11154691, ECO:0000269|PubMed:12738767, ECO:0000269|PubMed:12929931, ECO:0000269|PubMed:14645221, ECO:0000269|PubMed:24207024, ECO:0000269|PubMed:24616510, ECO:0000269|PubMed:24939902, ECO:0000269|PubMed:25514493, ECO:0000269|PubMed:28790157, ECO:0000269|PubMed:30540930, ECO:0000269|PubMed:9707565}.",NA,NA,"P31749; P10275; P61201; P16220; P35222; Q9UER7; Q12778; O43524; P23769; P62805; Q16665; P42858; P48551; Q14653; Q13568; Q92831; Q13351; Q86UE4; P55209; Q14686; Q04206; P36956-1; P36956-3; Q12772; Q9UL17; P04637; P0DTC9; P04608; P03070; P03255; P03259; P03259-2","Evidence at protein level",NA,NA,NA,NA,"Q92793"
"3","O60313","O60313","OPA1 KIAA0567","5","9606","Homo sapiens (Human)","FUNCTION: Dynamin-related GTPase that is essential for normal mitochondrial morphology by regulating the equilibrium between mitochondrial fusion and mitochondrial fission (PubMed:16778770, PubMed:17709429, PubMed:20185555, PubMed:24616225, PubMed:28746876). Coexpression of isoform 1 with shorter alternative products is required for optimal activity in promoting mitochondrial fusion (PubMed:17709429). Binds lipid membranes enriched in negatively charged phospholipids, such as cardiolipin, and promotes membrane tubulation (PubMed:20185555). The intrinsic GTPase activity is low, and is strongly increased by interaction with lipid membranes (PubMed:20185555). Plays a role in remodeling cristae and the release of cytochrome c during apoptosis (By similarity). Proteolytic processing in response to intrinsic apoptotic signals may lead to disassembly of OPA1 oligomers and release of the caspase activator cytochrome C (CYCS) into the mitochondrial intermembrane space (By similarity). Plays a role in mitochondrial genome maintenance (PubMed:20974897, PubMed:18158317). {ECO:0000250|UniProtKB:P58281, ECO:0000269|PubMed:16778770, ECO:0000269|PubMed:17709429, ECO:0000269|PubMed:18158317, ECO:0000269|PubMed:20185555, ECO:0000269|PubMed:20974897, ECO:0000269|PubMed:24616225, ECO:0000269|PubMed:28746876}.; FUNCTION: [Dynamin-like 120 kDa protein, form S1]: Inactive form produced by cleavage at S1 position by OMA1 following stress conditions that induce loss of mitochondrial membrane potential, leading to negative regulation of mitochondrial fusion. {ECO:0000269|PubMed:20038677}.; FUNCTION: Isoforms that contain the alternative exon 4b (present in isoform 4 and isoform 5) are required for mitochondrial genome maintenance, possibly by anchoring the mitochondrial nucleoids to the inner mitochondrial membrane. {ECO:0000269|PubMed:20974897}.",NA,"TISSUE SPECIFICITY: Highly expressed in retina. Also expressed in brain, testis, heart and skeletal muscle. Isoform 1 expressed in retina, skeletal muscle, heart, lung, ovary, colon, thyroid gland, leukocytes and fetal brain. Isoform 2 expressed in colon, liver, kidney, thyroid gland and leukocytes. Low levels of all isoforms expressed in a variety of tissues. {ECO:0000269|PubMed:11017079, ECO:0000269|PubMed:11017080, ECO:0000269|PubMed:11810270}.","Q12983; Q5S007; Q9NTG7","Evidence at protein level",NA,"TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family",NA,NA,"O60313"
"4","Q92831","Q92831","KAT2B PCAF","5","9606","Homo sapiens (Human)","FUNCTION: Functions as a histone acetyltransferase (HAT) to promote transcriptional activation (PubMed:8945521). Has significant histone acetyltransferase activity with core histones (H3 and H4), and also with nucleosome core particles (PubMed:8945521). Also acetylates non-histone proteins, such as ACLY, MAPRE1/EB1, PLK4, RRP9/U3-55K and TBX5 (PubMed:9707565, PubMed:10675335, PubMed:23001180, PubMed:27796307, PubMed:23932781, PubMed:26867678, PubMed:29174768). Inhibits cell-cycle progression and counteracts the mitogenic activity of the adenoviral oncoprotein E1A (PubMed:8684459). Acts as a circadian transcriptional coactivator which enhances the activity of the circadian transcriptional activators: NPAS2-ARNTL/BMAL1 and CLOCK-ARNTL/BMAL1 heterodimers (PubMed:14645221). Involved in heart and limb development by mediating acetylation of TBX5, acetylation regulating nucleocytoplasmic shuttling of TBX5 (PubMed:29174768). Acts as a negative regulator of centrosome amplification by mediating acetylation of PLK4 (PubMed:27796307). Acetylates RRP9/U3-55K, a core subunit of the U3 snoRNP complex, impairing pre-rRNA processing (PubMed:26867678). Acetylates MAPRE1/EB1, promoting dynamic kinetochore-microtubule interactions in early mitosis (PubMed:23001180). Also acetylates spermidine (PubMed:27389534). {ECO:0000269|PubMed:10675335, ECO:0000269|PubMed:14645221, ECO:0000269|PubMed:23001180, ECO:0000269|PubMed:23932781, ECO:0000269|PubMed:26867678, ECO:0000269|PubMed:27389534, ECO:0000269|PubMed:27796307, ECO:0000269|PubMed:29174768, ECO:0000269|PubMed:8684459, ECO:0000269|PubMed:8945521, ECO:0000269|PubMed:9707565}.; FUNCTION: (Microbial infection) In case of HIV-1 infection, it is recruited by the viral protein Tat. Regulates Tat's transactivating activity and may help inducing chromatin remodeling of proviral genes. {ECO:0000269|PubMed:12486002}.",NA,"TISSUE SPECIFICITY: Ubiquitously expressed but most abundant in heart and skeletal muscle. Also expressed in the skin, in keratinocytes (at protein level) (PubMed:20940255). {ECO:0000269|PubMed:20940255, ECO:0000269|PubMed:8684459}.","O60566; Q92793; Q96KQ7; Q09472; Q16665; Q9Y5W3; Q96EB6; Q8IXJ6; Q7Z699; Q16594; Q15672; P22415; P28033; P03129; P02299; P84040; P0DTC9; P59595; O88898-2; P03255; P03255-2","Evidence at protein level",NA,"Acetyltransferase family, GCN5 subfamily",NA,NA,"Q92831"
"5","Q04206","Q04206","RELA NFKB3","5","9606","Homo sapiens (Human)","FUNCTION: NF-kappa-B is a pleiotropic transcription factor present in almost all cell types and is the endpoint of a series of signal transduction events that are initiated by a vast array of stimuli related to many biological processes such as inflammation, immunity, differentiation, cell growth, tumorigenesis and apoptosis. NF-kappa-B is a homo- or heterodimeric complex formed by the Rel-like domain-containing proteins RELA/p65, RELB, NFKB1/p105, NFKB1/p50, REL and NFKB2/p52. The heterodimeric RELA-NFKB1 complex appears to be most abundant one. The dimers bind at kappa-B sites in the DNA of their target genes and the individual dimers have distinct preferences for different kappa-B sites that they can bind with distinguishable affinity and specificity. Different dimer combinations act as transcriptional activators or repressors, respectively. The NF-kappa-B heterodimeric RELA-NFKB1 and RELA-REL complexes, for instance, function as transcriptional activators. NF-kappa-B is controlled by various mechanisms of post-translational modification and subcellular compartmentalization as well as by interactions with other cofactors or corepressors. NF-kappa-B complexes are held in the cytoplasm in an inactive state complexed with members of the NF-kappa-B inhibitor (I-kappa-B) family. In a conventional activation pathway, I-kappa-B is phosphorylated by I-kappa-B kinases (IKKs) in response to different activators, subsequently degraded thus liberating the active NF-kappa-B complex which translocates to the nucleus. The inhibitory effect of I-kappa-B on NF-kappa-B through retention in the cytoplasm is exerted primarily through the interaction with RELA. RELA shows a weak DNA-binding site which could contribute directly to DNA binding in the NF-kappa-B complex. Beside its activity as a direct transcriptional activator, it is also able to modulate promoters accessibility to transcription factors and thereby indirectly regulate gene expression. Associates with chromatin at the NF-kappa-B promoter region via association with DDX1. Essential for cytokine gene expression in T-cells (PubMed:15790681). The NF-kappa-B homodimeric RELA-RELA complex appears to be involved in invasin-mediated activation of IL-8 expression. Key transcription factor regulating the IFN response during SARS-CoV-2 infection (PubMed:33440148). {ECO:0000269|PubMed:10928981, ECO:0000269|PubMed:12748188, ECO:0000269|PubMed:15790681, ECO:0000269|PubMed:17000776, ECO:0000269|PubMed:17620405, ECO:0000269|PubMed:19058135, ECO:0000269|PubMed:19103749, ECO:0000269|PubMed:20547752, ECO:0000269|PubMed:33440148}.",NA,NA,"Q9NY61; P18847-3; O60885; P55212; P06307; Q96JB5; P28329-3; O15111; Q8N668; Q92793; P52943; P35222; Q9UER7; Q08211; Q9H9B1; P03372; P22607; Q99684; P06396; Q13547; P46695; O14920; Q13568; Q9Y2K7; Q14145; Q99612; P13473-2; P25791; Q9BQ69; P53779; O00255-2; Q16236; P19838; PRO_0000030311 [P19838]; P25963; Q15653; P22736-1; Q96L73; O15294; Q53EL6; Q8N2W9; P67775; P30153; O75400-2; P62826; Q04206; P23396; Q8WTS6; Q96EB6; Q8IXJ6; Q8N6T7; O95863; O15524; P40763; Q13148; P21980; Q13625; Q13625-2; P0CG48; Q9UMX0; Q9UBK9; Q9Y649; Q9ESU6; O41974; Q8VIM5-1; Q8X834; B3CRR2; B3CTB0; P0C774; P69976; P10226; P31491; A0A384KL23; A0A380PFV1; Q9NPC8; Q8VIM5-1; P25963; Q04864; Q01201; P35637; Q04864; P15884","Evidence at protein level",NA,NA,NA,NA,"Q04206"
"6","Q09472","Q09472","EP300 P300","5","9606","Homo sapiens (Human)","FUNCTION: Functions as histone acetyltransferase and regulates transcription via chromatin remodeling (PubMed:23415232, PubMed:23934153, PubMed:8945521). Acetylates all four core histones in nucleosomes. Histone acetylation gives an epigenetic tag for transcriptional activation (PubMed:23415232, PubMed:23934153, PubMed:8945521). Mediates cAMP-gene regulation by binding specifically to phosphorylated CREB protein. Mediates acetylation of histone H3 at 'Lys-122' (H3K122ac), a modification that localizes at the surface of the histone octamer and stimulates transcription, possibly by promoting nucleosome instability. Mediates acetylation of histone H3 at 'Lys-27' (H3K27ac) (PubMed:23911289). Also functions as acetyltransferase for non-histone targets, such as ALX1, HDAC1, PRMT1 or SIRT2 (PubMed:12929931, PubMed:16762839, PubMed:18722353). Acetylates 'Lys-131' of ALX1 and acts as its coactivator (PubMed:12929931). Acetylates SIRT2 and is proposed to indirectly increase the transcriptional activity of p53/TP53 through acetylation and subsequent attenuation of SIRT2 deacetylase function (PubMed:18722353). Following DNA damage, forms a stress-responsive p53/TP53 coactivator complex with JMY which mediates p53/TP53 acetylation, thereby increasing p53/TP53-dependent transcription and apoptosis (PubMed:11511361, PubMed:15448695). Promotes chromatin acetylation in heat shock responsive HSP genes during the heat shock response (HSR), thereby stimulating HSR transcription (PubMed:18451878). Acetylates HDAC1 leading to its inactivation and modulation of transcription (PubMed:16762839). Acetylates 'Lys-247' of EGR2 (By similarity). Acts as a TFAP2A-mediated transcriptional coactivator in presence of CITED2 (PubMed:12586840). Plays a role as a coactivator of NEUROD1-dependent transcription of the secretin and p21 genes and controls terminal differentiation of cells in the intestinal epithelium. Promotes cardiac myocyte enlargement. Can also mediate transcriptional repression. Acetylates FOXO1 and enhances its transcriptional activity (PubMed:15890677). Acetylates BCL6 wich disrupts its ability to recruit histone deacetylases and hinders its transcriptional repressor activity (PubMed:12402037). Participates in CLOCK or NPAS2-regulated rhythmic gene transcription; exhibits a circadian association with CLOCK or NPAS2, correlating with increase in PER1/2 mRNA and histone H3 acetylation on the PER1/2 promoter (PubMed:14645221). Acetylates MTA1 at 'Lys-626' which is essential for its transcriptional coactivator activity (PubMed:16617102). Acetylates XBP1 isoform 2; acetylation increases protein stability of XBP1 isoform 2 and enhances its transcriptional activity (PubMed:20955178). Acetylates PCNA; acetylation promotes removal of chromatin-bound PCNA and its degradation during nucleotide excision repair (NER) (PubMed:24939902). Acetylates MEF2D (PubMed:21030595). Acetylates and stabilizes ZBTB7B protein by antagonizing ubiquitin conjugation and degradation, this mechanism may be involved in CD4/CD8 lineage differentiation (PubMed:20810990). Acetylates GABPB1, impairing GABPB1 heterotetramerization and activity (By similarity). Acetylates PCK1 and promotes PCK1 anaplerotic activity (PubMed:30193097). Acetylates RXRA and RXRG (PubMed:17761950). Acetylates isoform M2 of PKM (PKM2), promoting its homodimerization and conversion into a protein kinase (PubMed:24120661). In addition to protein acetyltransferase, can use different acyl-CoA substrates, such as (2E)-butenoyl-CoA (crotonyl-CoA), butanoyl-CoA (butyryl-CoA), 2-hydroxyisobutanoyl-CoA (2-hydroxyisobutyryl-CoA), lactoyl-CoA or propanoyl-CoA (propionyl-CoA), and is able to mediate protein crotonylation, butyrylation, 2-hydroxyisobutyrylation, lactylation or propionylation, respectively (PubMed:17267393, PubMed:25818647, PubMed:29775581, PubMed:31645732). Acts as a histone crotonyltransferase; crotonylation marks active promoters and enhancers and confers resistance to transcriptional repressors (PubMed:25818647). Histone crotonyltransferase activity is dependent on the concentration of (2E)-butenoyl-CoA (crotonyl-CoA) substrate and such activity is weak when (2E)-butenoyl-CoA (crotonyl-CoA) concentration is low (PubMed:25818647). Also acts as a histone butyryltransferase; butyrylation marks active promoters (PubMed:17267393). Catalyzes histone lactylation in macrophages by using lactoyl-CoA directly derived from endogenous or exogenous lactate, leading to stimulates gene transcription (PubMed:31645732). Acts as a protein-lysine 2-hydroxyisobutyryltransferase; regulates glycolysis by mediating 2-hydroxyisobutyrylation of glycolytic enzymes (PubMed:29775581). Functions as a transcriptional coactivator for SMAD4 in the TGF-beta signaling pathway (PubMed:25514493). {ECO:0000250|UniProtKB:B2RWS6, ECO:0000269|PubMed:10733570, ECO:0000269|PubMed:11430825, ECO:0000269|PubMed:11511361, ECO:0000269|PubMed:11701890, ECO:0000269|PubMed:12402037, ECO:0000269|PubMed:12586840, ECO:0000269|PubMed:12929931, ECO:0000269|PubMed:14645221, ECO:0000269|PubMed:15186775, ECO:0000269|PubMed:15448695, ECO:0000269|PubMed:15890677, ECO:0000269|PubMed:16617102, ECO:0000269|PubMed:16762839, ECO:0000269|PubMed:17267393, ECO:0000269|PubMed:17761950, ECO:0000269|PubMed:18451878, ECO:0000269|PubMed:18722353, ECO:0000269|PubMed:18995842, ECO:0000269|PubMed:20810990, ECO:0000269|PubMed:21030595, ECO:0000269|PubMed:23415232, ECO:0000269|PubMed:23911289, ECO:0000269|PubMed:23934153, ECO:0000269|PubMed:24120661, ECO:0000269|PubMed:24939902, ECO:0000269|PubMed:25514493, ECO:0000269|PubMed:25818647, ECO:0000269|PubMed:29775581, ECO:0000269|PubMed:30193097, ECO:0000269|PubMed:31645732, ECO:0000269|PubMed:8945521, ECO:0000305|PubMed:20955178}.; FUNCTION: (Microbial infection) In case of HIV-1 infection, it is recruited by the viral protein Tat. Regulates Tat's transactivating activity and may help inducing chromatin remodeling of proviral genes. Binds to and may be involved in the transforming capacity of the adenovirus E1A protein. {ECO:0000269|PubMed:10545121, ECO:0000269|PubMed:11080476}.",NA,NA,"Q9NXW9; P27695; Q9UBL3; Q8WXX7; Q9NPI1; P24941; Q99967; P61201; P16220-1; P17844; Q01844; P35637; Q00403; Q16665; Q9H2X6; Q92831; P55209; O60934; P20265; Q96KQ4; Q8WUF5; Q13761; Q96EB6; Q13309; O95863; P42226; Q9UL17; P56279; P05549; P04637; Q13625; O15350; P11473; P67809; K4P3M7; P03122; P06422; P06790; Q61221; Q9QXM1; P04608; P03070; P03255; P03255-2; P03259","Evidence at protein level",NA,NA,NA,NA,"Q09472"
"7","Q92831","Q92831","KAT2B PCAF","5","9606","Homo sapiens (Human)","FUNCTION: Functions as a histone acetyltransferase (HAT) to promote transcriptional activation (PubMed:8945521). Has significant histone acetyltransferase activity with core histones (H3 and H4), and also with nucleosome core particles (PubMed:8945521). Also acetylates non-histone proteins, such as ACLY, MAPRE1/EB1, PLK4, RRP9/U3-55K and TBX5 (PubMed:9707565, PubMed:10675335, PubMed:23001180, PubMed:27796307, PubMed:23932781, PubMed:26867678, PubMed:29174768). Inhibits cell-cycle progression and counteracts the mitogenic activity of the adenoviral oncoprotein E1A (PubMed:8684459). Acts as a circadian transcriptional coactivator which enhances the activity of the circadian transcriptional activators: NPAS2-ARNTL/BMAL1 and CLOCK-ARNTL/BMAL1 heterodimers (PubMed:14645221). Involved in heart and limb development by mediating acetylation of TBX5, acetylation regulating nucleocytoplasmic shuttling of TBX5 (PubMed:29174768). Acts as a negative regulator of centrosome amplification by mediating acetylation of PLK4 (PubMed:27796307). Acetylates RRP9/U3-55K, a core subunit of the U3 snoRNP complex, impairing pre-rRNA processing (PubMed:26867678). Acetylates MAPRE1/EB1, promoting dynamic kinetochore-microtubule interactions in early mitosis (PubMed:23001180). Also acetylates spermidine (PubMed:27389534). {ECO:0000269|PubMed:10675335, ECO:0000269|PubMed:14645221, ECO:0000269|PubMed:23001180, ECO:0000269|PubMed:23932781, ECO:0000269|PubMed:26867678, ECO:0000269|PubMed:27389534, ECO:0000269|PubMed:27796307, ECO:0000269|PubMed:29174768, ECO:0000269|PubMed:8684459, ECO:0000269|PubMed:8945521, ECO:0000269|PubMed:9707565}.; FUNCTION: (Microbial infection) In case of HIV-1 infection, it is recruited by the viral protein Tat. Regulates Tat's transactivating activity and may help inducing chromatin remodeling of proviral genes. {ECO:0000269|PubMed:12486002}.",NA,"TISSUE SPECIFICITY: Ubiquitously expressed but most abundant in heart and skeletal muscle. Also expressed in the skin, in keratinocytes (at protein level) (PubMed:20940255). {ECO:0000269|PubMed:20940255, ECO:0000269|PubMed:8684459}.","O60566; Q92793; Q96KQ7; Q09472; Q16665; Q9Y5W3; Q96EB6; Q8IXJ6; Q7Z699; Q16594; Q15672; P22415; P28033; P03129; P02299; P84040; P0DTC9; P59595; O88898-2; P03255; P03255-2","Evidence at protein level",NA,"Acetyltransferase family, GCN5 subfamily",NA,NA,"Q92831"
"8","P63241","P63241","EIF5A","5","9606","Homo sapiens (Human)","FUNCTION: mRNA-binding protein involved in translation elongation (PubMed:16987817, PubMed:17187778, PubMed:33547280). Has an important function at the level of mRNA turnover, probably acting downstream of decapping (PubMed:16987817, PubMed:17187778, PubMed:33547280). Critical for the efficient synthesis of peptide bonds between consecutive proline residues (PubMed:16987817, PubMed:17187778, PubMed:33547280). Can resolve ribosomal stalling caused by consecutive prolines during translation (PubMed:16987817, PubMed:17187778, PubMed:33547280). Involved in actin dynamics and cell cycle progression, mRNA decay and probably in a pathway involved in stress response and maintenance of cell wall integrity (PubMed:16987817, PubMed:17187778, PubMed:33547280). With syntenin SDCBP, functions as a regulator of p53/TP53 and p53/TP53-dependent apoptosis (PubMed:15371445). Regulates also TNF-alpha-mediated apoptosis (PubMed:15452064). Mediates effects of polyamines on neuronal process extension and survival (PubMed:17360499). May play an important role in brain development and function, and in skeletal muscle stem cell differentiation (By similarity). Also described as a cellular cofactor of human T-cell leukemia virus type I (HTLV-1) Rex protein and of human immunodeficiency virus type 1 (HIV-1) Rev protein, essential for mRNA export of retroviral transcripts (PubMed:8253832). {ECO:0000250|UniProtKB:Q3T1J1, ECO:0000269|PubMed:15371445, ECO:0000269|PubMed:15452064, ECO:0000269|PubMed:16987817, ECO:0000269|PubMed:17187778, ECO:0000269|PubMed:17360499, ECO:0000269|PubMed:33547280, ECO:0000269|PubMed:8253832}.",NA,"TISSUE SPECIFICITY: Expressed in umbilical vein endothelial cells and several cancer cell lines (at protein level). {ECO:0000269|PubMed:16519677}.","O43186; P49366; O15499; P52954; A8MW99; P50222; Q6FHY5; Q9NRD5; Q04864; Q04864-2; O00560","Evidence at protein level",NA,"EIF-5A family","BIOTECHNOLOGY: Mature eIF5A-1 may be used as an in situ diagnostic marker for aberrant proliferation in intraepithelial neoplasia of the vulva. {ECO:0000269|PubMed:15262146}.",NA,"P63241"
"9","Q92831","Q92831","KAT2B PCAF","5","9606","Homo sapiens (Human)","FUNCTION: Functions as a histone acetyltransferase (HAT) to promote transcriptional activation (PubMed:8945521). Has significant histone acetyltransferase activity with core histones (H3 and H4), and also with nucleosome core particles (PubMed:8945521). Also acetylates non-histone proteins, such as ACLY, MAPRE1/EB1, PLK4, RRP9/U3-55K and TBX5 (PubMed:9707565, PubMed:10675335, PubMed:23001180, PubMed:27796307, PubMed:23932781, PubMed:26867678, PubMed:29174768). Inhibits cell-cycle progression and counteracts the mitogenic activity of the adenoviral oncoprotein E1A (PubMed:8684459). Acts as a circadian transcriptional coactivator which enhances the activity of the circadian transcriptional activators: NPAS2-ARNTL/BMAL1 and CLOCK-ARNTL/BMAL1 heterodimers (PubMed:14645221). Involved in heart and limb development by mediating acetylation of TBX5, acetylation regulating nucleocytoplasmic shuttling of TBX5 (PubMed:29174768). Acts as a negative regulator of centrosome amplification by mediating acetylation of PLK4 (PubMed:27796307). Acetylates RRP9/U3-55K, a core subunit of the U3 snoRNP complex, impairing pre-rRNA processing (PubMed:26867678). Acetylates MAPRE1/EB1, promoting dynamic kinetochore-microtubule interactions in early mitosis (PubMed:23001180). Also acetylates spermidine (PubMed:27389534). {ECO:0000269|PubMed:10675335, ECO:0000269|PubMed:14645221, ECO:0000269|PubMed:23001180, ECO:0000269|PubMed:23932781, ECO:0000269|PubMed:26867678, ECO:0000269|PubMed:27389534, ECO:0000269|PubMed:27796307, ECO:0000269|PubMed:29174768, ECO:0000269|PubMed:8684459, ECO:0000269|PubMed:8945521, ECO:0000269|PubMed:9707565}.; FUNCTION: (Microbial infection) In case of HIV-1 infection, it is recruited by the viral protein Tat. Regulates Tat's transactivating activity and may help inducing chromatin remodeling of proviral genes. {ECO:0000269|PubMed:12486002}.",NA,"TISSUE SPECIFICITY: Ubiquitously expressed but most abundant in heart and skeletal muscle. Also expressed in the skin, in keratinocytes (at protein level) (PubMed:20940255). {ECO:0000269|PubMed:20940255, ECO:0000269|PubMed:8684459}.","O60566; Q92793; Q96KQ7; Q09472; Q16665; Q9Y5W3; Q96EB6; Q8IXJ6; Q7Z699; Q16594; Q15672; P22415; P28033; P03129; P02299; P84040; P0DTC9; P59595; O88898-2; P03255; P03255-2","Evidence at protein level",NA,"Acetyltransferase family, GCN5 subfamily",NA,NA,"Q92831"
"10","O88898","O88898","Tp63 P63 P73l Tp73l Trp63","5","10090","Mus musculus (Mouse)","FUNCTION: Acts as a sequence specific DNA binding transcriptional activator or repressor. The isoforms contain a varying set of transactivation and auto-regulating transactivation inhibiting domains thus showing an isoform specific activity. May be required in conjunction with TP73/p73 for initiation of p53/TP53 dependent apoptosis in response to genotoxic insults and the presence of activated oncogenes. Involved in Notch signaling by probably inducing JAG1 and JAG2. Activates transcription of the p21 promoter (By similarity). Activates RIPK4 transcription. Plays a role in the regulation of epithelial morphogenesis. The ratio of DeltaN-type and TA*-type isoforms may govern the maintenance of epithelial stem cell compartments and regulate the initiation of epithelial stratification from the undifferentiated embryonal ectoderm. Required for limb formation from the apical ectodermal ridge. {ECO:0000250, ECO:0000269|PubMed:10227293, ECO:0000269|PubMed:10227294, ECO:0000269|PubMed:11932750, ECO:0000269|PubMed:14729569, ECO:0000269|PubMed:22197488}.","COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250}; Note=Binds 1 zinc ion per subunit. {ECO:0000250};","TISSUE SPECIFICITY: Widely expressed, notably in thymus, prostate, placenta and skeletal muscle, although the precise isoform varies according to tissue type. Progenitor cell layers of skin, breast and prostate express high levels of DeltaN-type isoforms. {ECO:0000269|PubMed:9774969}.","Q9ESJ1; O88898; P04637; O88898-1; O88898-2; Q92831; O88898-5","Evidence at protein level",NA,"P53 family",NA,NA,"O88898"
