"","From","Entry","Gene.Names","Annotation","Organism..ID.","Organism","Function..CC.","Cofactor","Tissue.specificity","Interacts.with","Protein.existence","Allergenic.Properties","Protein.families","Biotechnological.use","Redox.potential","uniprotkb"
"1","Q01831","Q01831","XPC XPCC","5","9606","Homo sapiens (Human)","FUNCTION: Involved in global genome nucleotide excision repair (GG-NER) by acting as damage sensing and DNA-binding factor component of the XPC complex (PubMed:10734143, PubMed:19609301, PubMed:20649465, PubMed:9734359, PubMed:10873465, PubMed:12509299, PubMed:12547395, PubMed:19941824, PubMed:20028083, PubMed:20798892). Has only a low DNA repair activity by itself which is stimulated by RAD23B and RAD23A. Has a preference to bind DNA containing a short single-stranded segment but not to damaged oligonucleotides (PubMed:10734143, PubMed:19609301, PubMed:20649465). This feature is proposed to be related to a dynamic sensor function: XPC can rapidly screen duplex DNA for non-hydrogen-bonded bases by forming a transient nucleoprotein intermediate complex which matures into a stable recognition complex through an intrinsic single-stranded DNA-binding activity (PubMed:10734143, PubMed:19609301, PubMed:20649465). The XPC complex is proposed to represent the first factor bound at the sites of DNA damage and together with other core recognition factors, XPA, RPA and the TFIIH complex, is part of the pre-incision (or initial recognition) complex (PubMed:9734359, PubMed:10873465, PubMed:12509299, PubMed:12547395, PubMed:19941824, PubMed:20028083, PubMed:20798892). The XPC complex recognizes a wide spectrum of damaged DNA characterized by distortions of the DNA helix such as single-stranded loops, mismatched bubbles or single-stranded overhangs (PubMed:9734359, PubMed:10873465, PubMed:12509299, PubMed:12547395, PubMed:19941824, PubMed:20028083, PubMed:20798892). The orientation of XPC complex binding appears to be crucial for inducing a productive NER (PubMed:9734359, PubMed:10873465, PubMed:12509299, PubMed:12547395, PubMed:19941824, PubMed:20028083, PubMed:20798892). XPC complex is proposed to recognize and to interact with unpaired bases on the undamaged DNA strand which is followed by recruitment of the TFIIH complex and subsequent scanning for lesions in the opposite strand in a 5'-to-3' direction by the NER machinery (PubMed:9734359, PubMed:10873465, PubMed:12509299, PubMed:12547395, PubMed:19941824, PubMed:20028083, PubMed:20798892). Cyclobutane pyrimidine dimers (CPDs) which are formed upon UV-induced DNA damage esacpe detection by the XPC complex due to a low degree of structural perurbation. Instead they are detected by the UV-DDB complex which in turn recruits and cooperates with the XPC complex in the respective DNA repair (PubMed:9734359, PubMed:10873465, PubMed:12509299, PubMed:12547395, PubMed:19941824, PubMed:20028083, PubMed:20798892). In vitro, the XPC:RAD23B dimer is sufficient to initiate NER; it preferentially binds to cisplatin and UV-damaged double-stranded DNA and also binds to a variety of chemically and structurally diverse DNA adducts (PubMed:20028083). XPC:RAD23B contacts DNA both 5' and 3' of a cisplatin lesion with a preference for the 5' side. XPC:RAD23B induces a bend in DNA upon binding. XPC:RAD23B stimulates the activity of DNA glycosylases TDG and SMUG1 (PubMed:20028083). {ECO:0000269|PubMed:10734143, ECO:0000269|PubMed:10873465, ECO:0000269|PubMed:12509299, ECO:0000269|PubMed:12547395, ECO:0000269|PubMed:19609301, ECO:0000269|PubMed:19941824, ECO:0000269|PubMed:20028083, ECO:0000269|PubMed:20649465, ECO:0000269|PubMed:20798892, ECO:0000269|PubMed:9734359}.; FUNCTION: In absence of DNA repair, the XPC complex also acts as a transcription coactivator: XPC interacts with the DNA-binding transcription factor E2F1 at a subset of promoters to recruit KAT2A and histone acetyltransferase complexes (HAT) (PubMed:29973595, PubMed:31527837). KAT2A recruitment specifically promotes acetylation of histone variant H2A.Z.1/H2A.Z, but not H2A.Z.2/H2A.V, thereby promoting expression of target genes (PubMed:31527837). {ECO:0000269|PubMed:29973595, ECO:0000269|PubMed:31527837}.",NA,NA,"P41208; P19447; P32780; P62195; P54727; P13288; Q92466; P32780","Evidence at protein level",NA,"XPC family",NA,NA,"Q01831"
"2","O15527","O15527","OGG1 MMH MUTM OGH1","5","9606","Homo sapiens (Human)","FUNCTION: DNA repair enzyme that incises DNA at 8-oxoG residues. Excises 7,8-dihydro-8-oxoguanine and 2,6-diamino-4-hydroxy-5-N-methylformamidopyrimidine (FAPY) from damaged DNA. Has a beta-lyase activity that nicks DNA 3' to the lesion.",NA,"TISSUE SPECIFICITY: Ubiquitous.",NA,"Evidence at protein level",NA,"Type-1 OGG1 family",NA,NA,"O15527"
"3","O15527","O15527","OGG1 MMH MUTM OGH1","5","9606","Homo sapiens (Human)","FUNCTION: DNA repair enzyme that incises DNA at 8-oxoG residues. Excises 7,8-dihydro-8-oxoguanine and 2,6-diamino-4-hydroxy-5-N-methylformamidopyrimidine (FAPY) from damaged DNA. Has a beta-lyase activity that nicks DNA 3' to the lesion.",NA,"TISSUE SPECIFICITY: Ubiquitous.",NA,"Evidence at protein level",NA,"Type-1 OGG1 family",NA,NA,"O15527"
"4","P63038","P63038","Hspd1 Hsp60","5","10090","Mus musculus (Mouse)","FUNCTION: Chaperonin implicated in mitochondrial protein import and macromolecular assembly. Together with Hsp10, facilitates the correct folding of imported proteins. May also prevent misfolding and promote the refolding and proper assembly of unfolded polypeptides generated under stress conditions in the mitochondrial matrix. The functional units of these chaperonins consist of heptameric rings of the large subunit Hsp60, which function as a back-to-back double ring. In a cyclic reaction, Hsp60 ring complexes bind one unfolded substrate protein per ring, followed by the binding of ATP and association with 2 heptameric rings of the co-chaperonin Hsp10. This leads to sequestration of the substrate protein in the inner cavity of Hsp60 where, for a certain period of time, it can fold undisturbed by other cell components. Synchronous hydrolysis of ATP in all Hsp60 subunits results in the dissociation of the chaperonin rings and the release of ADP and the folded substrate protein. {ECO:0000250|UniProtKB:P10809}.",NA,NA,NA,"Evidence at protein level",NA,"Chaperonin (HSP60) family",NA,NA,"P63038"
"5","P19338","P19338","NCL","5","9606","Homo sapiens (Human)","FUNCTION: Nucleolin is the major nucleolar protein of growing eukaryotic cells. It is found associated with intranucleolar chromatin and pre-ribosomal particles. It induces chromatin decondensation by binding to histone H1. It is thought to play a role in pre-rRNA transcription and ribosome assembly. May play a role in the process of transcriptional elongation. Binds RNA oligonucleotides with 5'-UUAGGG-3' repeats more tightly than the telomeric single-stranded DNA 5'-TTAGGG-3' repeats. {ECO:0000269|PubMed:10393184}.",NA,NA,"Q9Y6D6; P49407; P32121; PRO_0000005794 [P39060]; Q00987; P35579; P19338; Q9UQ80; Q06710; P61586; P04637; P63104; Q9CR42; Q8AZK7; PRO_0000037577 [P27958]","Evidence at protein level",NA,NA,NA,NA,"P19338"
"6","P11387","P11387","TOP1","5","9606","Homo sapiens (Human)","FUNCTION: Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(3'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 5'-OH DNA strand. The free DNA strand then rotates around the intact phosphodiester bond on the opposing strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 5'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity). Regulates the alternative splicing of tissue factor (F3) pre-mRNA in endothelial cells. Involved in the circadian transcription of the core circadian clock component ARNTL/BMAL1 by altering the chromatin structure around the ROR response elements (ROREs) on the ARNTL/BMAL1 promoter. {ECO:0000250|UniProtKB:Q13472, ECO:0000269|PubMed:14594810, ECO:0000269|PubMed:16033260, ECO:0000269|PubMed:19168442, ECO:0000269|PubMed:22904072, ECO:0000269|PubMed:2833744}.",NA,"TISSUE SPECIFICITY: Endothelial cells. {ECO:0000269|PubMed:19168442}.","P00519; P01106; Q99801; P42768","Evidence at protein level",NA,"Type IB topoisomerase family",NA,NA,"P11387"
"7","P19338","P19338","NCL","5","9606","Homo sapiens (Human)","FUNCTION: Nucleolin is the major nucleolar protein of growing eukaryotic cells. It is found associated with intranucleolar chromatin and pre-ribosomal particles. It induces chromatin decondensation by binding to histone H1. It is thought to play a role in pre-rRNA transcription and ribosome assembly. May play a role in the process of transcriptional elongation. Binds RNA oligonucleotides with 5'-UUAGGG-3' repeats more tightly than the telomeric single-stranded DNA 5'-TTAGGG-3' repeats. {ECO:0000269|PubMed:10393184}.",NA,NA,"Q9Y6D6; P49407; P32121; PRO_0000005794 [P39060]; Q00987; P35579; P19338; Q9UQ80; Q06710; P61586; P04637; P63104; Q9CR42; Q8AZK7; PRO_0000037577 [P27958]","Evidence at protein level",NA,NA,NA,NA,"P19338"
"8","Q99608","Q99608","NDN","5","9606","Homo sapiens (Human)","FUNCTION: Growth suppressor that facilitates the entry of the cell into cell cycle arrest. Functionally similar to the retinoblastoma protein it binds to and represses the activity of cell-cycle-promoting proteins such as SV40 large T antigen, adenovirus E1A, and the transcription factor E2F. Necdin also interacts with p53 and works in an additive manner to inhibit cell growth. Also functions as a transcription factor and directly binds to specific guanosine-rich DNA sequences (By similarity). {ECO:0000250}.",NA,"TISSUE SPECIFICITY: Almost ubiquitous. Detected in fetal brain, lung, liver and kidney; in adult heart, brain, placenta, lung, liver, skeletal muscle, kidney, pancreas, spleen, thymus, prostate, testis, ovary, small intestine and colon. Not detected in peripheral blood leukocytes. In brain, restricted to post-mitotic neurons.","Q9Y6B2; P28799; P04792; P42858; I6L9F6; P07196; Q9BPZ3; Q96A49; O76024","Evidence at protein level",NA,NA,NA,NA,"Q99608"
"9","P19338","P19338","NCL","5","9606","Homo sapiens (Human)","FUNCTION: Nucleolin is the major nucleolar protein of growing eukaryotic cells. It is found associated with intranucleolar chromatin and pre-ribosomal particles. It induces chromatin decondensation by binding to histone H1. It is thought to play a role in pre-rRNA transcription and ribosome assembly. May play a role in the process of transcriptional elongation. Binds RNA oligonucleotides with 5'-UUAGGG-3' repeats more tightly than the telomeric single-stranded DNA 5'-TTAGGG-3' repeats. {ECO:0000269|PubMed:10393184}.",NA,NA,"Q9Y6D6; P49407; P32121; PRO_0000005794 [P39060]; Q00987; P35579; P19338; Q9UQ80; Q06710; P61586; P04637; P63104; Q9CR42; Q8AZK7; PRO_0000037577 [P27958]","Evidence at protein level",NA,NA,NA,NA,"P19338"
"10","P05412","P05412","JUN","5","9606","Homo sapiens (Human)","FUNCTION: Transcription factor that recognizes and binds to the AP-1 consensus motif 5'-TGA[GC]TCA-3' (PubMed:10995748, PubMed:22083952). Heterodimerizes with proteins of the FOS family to form an AP-1 transcription complex, thereby enhancing its DNA binding activity to the AP-1 consensus sequence 5'-TGA[GC]TCA-3' and enhancing its transcriptional activity (By similarity). Together with FOSB, plays a role in activation-induced cell death of T cells by binding to the AP-1 promoter site of FASLG/CD95L, and inducing its transcription in response to activation of the TCR/CD3 signaling pathway (PubMed:12618758). Promotes activity of NR5A1 when phosphorylated by HIPK3 leading to increased steroidogenic gene expression upon cAMP signaling pathway stimulation (PubMed:17210646). Involved in activated KRAS-mediated transcriptional activation of USP28 in colorectal cancer (CRC) cells (PubMed:24623306). Binds to the USP28 promoter in colorectal cancer (CRC) cells (PubMed:24623306). {ECO:0000250|UniProtKB:P05627, ECO:0000269|PubMed:10995748, ECO:0000269|PubMed:12618758, ECO:0000269|PubMed:17210646, ECO:0000269|PubMed:22083952, ECO:0000269|PubMed:24623306}.",NA,"TISSUE SPECIFICITY: Expressed in the developing and adult prostate and prostate cancer cells. {ECO:0000269|PubMed:24263171, ECO:0000269|PubMed:24559171}.","P78563; Q06481; P05067; P18846; P15336; P18847; P18848; P17544; Q16520; Q8N1L9; Q8N1L9-1; Q9NR55; Q8IWZ6; Q99966; Q9UGL9; O43889; P20042; P14921; P22607; P01100; P15407; P15408; Q9HD26; P06396; P07900; P11142; P10809; P05412; P52292; P53779; P45983; P45983-1; Q9UPY8; Q00987; Q13330; I6L9F6; P07197; O95644; Q13469-2; Q16236; O60829; P27986-2; P48634; P63000; Q8WTV0; Q15796; Q9NRL3; P56279; Q71U36; P07437; Q13885; Q9UMX0; Q99986; P0C746; Q8WQG9; P56671; Q9DGW5","Evidence at protein level",NA,"BZIP family, Jun subfamily",NA,NA,"P05412"
